name;analogue;classes
1Password;Менеджер паролей Пассворк (6147);Средства аутентификации пользователей
3CX;Call-центр / IP АТС Infinity (13330)|Naumen Contact Center (177)|VOXDISTRO IP-PBX (6974);Телефония|Колл-центры
3i Data Plexus;Content AI Intelligent Search (214)|Naumen LegalTech (12775);ПО для функциональных сотрудников/подразделений|Органы власти|Телекоммуникации|Энергетика|Банки и финансы|Системы полнотекстового поиска|Колл-центры
6clicks;Программный модуль «Операционный риск» (13067);Бухгалтерия, финансы и отчетность|Управление финансами|Банки и финансы
8x8 Meet;IVA AVES S (ДВФТ.30002-01) (5142)|TrueConf Server (78)|VideoMost Server (952)|WEBINAR (ВЕБИНАР), версия 3.0 (3316)|ВИДЕОСЕЛЕКТОР (751)|Контур.Толк (11964);Системы видеосвязи (ВКС)|Для организации удалённой работы|Системы организации групповой работы|Образование|Системы видеостриминга
A10;EcoNAT (1675);Коммуникационное ПО
Abaqus;APM StructFEM (3090)|APM WinMachine (2575);CAD/ECAD/CAM/CAE-системы|Моделирование технических систем и объектов|Образование
ABAQUS;Программа моделирования технологических процессов обработки металлов давлением (QForm) (438);CAD/ECAD/CAM/CAE-системы|Моделирование технических систем и объектов
ABB/Mincom Ellipse EAM;1С:ТОИР Управление ремонтами и обслуживанием оборудования (638)|TechnologiCS (846)|Галактика EAM (985);Системы управления бизнес-процессами|EAM-системы (управление активами предприятия)|Управление ТОиР|PLM - системы (Product Lifecycle Management)|IIoT (промышленный интернет вещей)|MES|PDM - системы (Product Data Management)
ABB Ventyx;АКСИОМА (2997);EAM-системы (управление активами предприятия)|IIoT (промышленный интернет вещей)|Управление ТОиР
ABBYY FineReader;PROMT Analyzer SDK (4134)|SOICA (7808)|Система интеллектуального анализа данных PolyAnalyst (4414)|Система оптического распознавания текста «SETERE OCR» (12153)|ЭЛАР Контекст (12298);Аналитические системы (BI)|Системы оптического распознавания текстов|Бухгалтерия, финансы и отчетность|ПО для юристов|Распознавание образов, компьютерное зрение|PDF-вьюеры и редакторы|Системы документооборота (СЭД), ECM-системы|Органы власти|Программные платформы|ПО для промышленности
ABBYY FlexiCapture;Beorg Smart Vision (9998)|Directum Ario One (12822)|Smart Document Engine (9617)|Smart ID Engine (9304)|SOICA (7808)|ЭЛАР Контекст (12298);Распознавание образов, компьютерное зрение|Системы оптического распознавания текстов|ПО для функциональных сотрудников/подразделений|Органы власти|Банки и финансы|Торговля|ПО для работы с документами и текстами|Бухгалтерия, финансы и отчетность|ПО для юристов|Системы документооборота (СЭД), ECM-системы|Программные платформы|ПО для промышленности
Abbyy Intelligent Search;Naumen Disc (undefined);Системы облачного хранения файлов|Колл-центры
ABM Cloud;ANTOR LogisticsMaster™ (2558)|ANTOR LogistInWeb (7281)|AXELOT TMS X (238)|AXELOT WMS E (9796)|AXELOT WMS X (5494)|AXELOT WOS X (12642)|LEAD WMS (undefined)|Magenta. Mobile Client (9445)|Magenta. Scheduler (9313)|Magenta.Track and Trace (9217)|TopLog WMS (5224)|ГИС ОПТИМУМ (1800)|МАППА-Монитор логиста (12955)|ЯКурьер TMS (undefined);Геоинформационные системы (ГИС)|Системы мониторинга и управления транспортом|Транспорт|Склады, логистика|Системы управления поставщиками (SRM), цепочками поставок (SCM)|Системы управления бизнес-процессами|ПО для промышленности|ПО для робототехники
academyocean;1С:Образование (4961)|Атмагуру- экосистема для организации эффективного корпоративного обучения в условиях быстрых изменений рынка (undefined);Обучающее ПО|Образование|Программные платформы|Облачные программные платформы
Accellos One Transport;AXELOT TMS X (238)|TopLog WMS (5224);Системы мониторинга и управления транспортом|Склады, логистика|Системы управления поставщиками (SRM), цепочками поставок (SCM)
Accellos WMS;AXELOT WMS X (5494)|LEAD WMS (undefined)|TopLog WMS (5224);Склады, логистика|Системы управления бизнес-процессами|ПО для промышленности|ПО для робототехники
ACE Reporter;FastReport VCL (undefined);Средства разработки
ACIS;Геометрическое ядро C3D Modeler (2323);Средства разработки|SDK
Acronis True Image;Система резервного копирования RuBackup (6808);Средства резервного копирования
ActivTrack;Программный комплекс Solar addVisor (9369);ПО для HR и кадровых служб|Системы мониторинга и управления
Adacta;Diasoft Insurance, Life - Страхование жизни (7462)|Diasoft Insurance, Medical (7461)|Diasoft Insurance, Re (7463);Страхование
AddPack SBC;СПО «ПРОТЕЙ-SBC» (12507);Телекоммуникации|Сетевое оборудование
ADMS GE Digital;ИНФОПРО: Управление транспортом электрической энергии (4256);Системы мониторинга и управление энергосетей|Энергетика
Adobe Acrobat;Система оптического распознавания текста «SETERE OCR» (12153);Системы оптического распознавания текстов|PDF-вьюеры и редакторы
Adobe Document Cloud;Naumen Disc (undefined);Системы облачного хранения файлов|Колл-центры
Adobe Experience Manager;Система управления контентом QP8.CMS с поддержкой PostgreSQL (10458);Корпоративные порталы и средства их создания|Управление Web-сайтами
Adobe Photoshop;AliveColors (4285);Офисные пакеты|Графические и фоторедакторы|Архивное дело
AdoptOpenJDK;Комплект разработчика Java Axiom JDK Pro (5493);SDK|Программные платформы
Advanced MMS;ИНФОПРО: Энерготрейдинг (2953);Аналитические системы (BI)|Энергетика|Интеграционное ПО. Интеграционные шины, ESB
Adveon tool library (Sandvik);Программный комплекс ADEM-VX версии 2020 в составе модулей: PDM, CAD, CAM, CAPP, SIM, GPP, NTR, I-RIS (Программное обеспечение ADEM-VX) (12735);CAD/ECAD/CAM/CAE-системы
AFDEX;Программа моделирования технологических процессов обработки металлов давлением (QForm) (438);CAD/ECAD/CAM/CAE-системы|Моделирование технических систем и объектов
Agilent OpenLAB;Zyfra Quality Lab (8684)|Лабораторно-информационная система I-LDS (InduSoft Laboratory Data System) (1350);LIMS
Agility CMS;1С-Битрикс: Управление сайтом (35)|АЛЬФА: Media: готовый информационный портал (11902)|Система управления контентом QP8.CMS с поддержкой PostgreSQL (10458);Управление Web-сайтами|Корпоративные порталы и средства их создания|Средства прикладной разработки NoCode/LowCode
airtable;Nextdoc (undefined)|Бипиум (3455);Системы документооборота (СЭД), ECM-системы|Системы организации групповой работы|Системы облачного хранения файлов|Средства прикладной разработки NoCode/LowCode|Управление корпоративными данными (Data Governance)|Системы управления бизнес-процессами|CRM-системы|Программные платформы|Системы управления закупками|Системы управления проектами
Ajax Systems;Умный дом DREHOME&TV (10443);Умный дом
Akamai DDoS Protection;StormWall DDoS Protection (12322);Средства защиты от DDOS-атак
Akeneo PIM;1С:MDM Управление нормативно-справочной информацией (672)|AGORA — платформа электронной коммерции и закупок (7492)|QP8.ProductCatalog (8667)|АЛЬФА:B2B Enterprise — платформа электронной B2B коммерции (12420)|Еком-платформа Ensi (13451);MDM-системы (Master Data Management)|Системы управления бизнес-процессами|Корпоративные порталы и средства их создания|Управление Web-сайтами|Средства прикладной разработки NoCode/LowCode|Торговля|CRM-системы|Электронные торговые площадки (ЭТП)
Alation;Юнидата Data Governance (Unidata Data Governance) (8759);Управление корпоративными данными (Data Governance)
Alation Enterprise Data Catalog & DG;Система по управлению данными RT.DataGovernance (6751);Управление корпоративными данными (Data Governance)
Alcatel-Lucent 5ESS, S12;Программа для ЭВМ "Универсальный узел коммутации" (336)|Программный комплекс Протей-imSwitch (3361);Телекоммуникации|ПАК|Системы аудиозаписи|Коммуникационное ПО|Телефония|Сетевое оборудование
Aldata G.O.L.D;AXELOT WMS X (5494)|LEAD WMS (undefined)|TopLog WMS (5224);Склады, логистика|Системы управления бизнес-процессами|ПО для промышленности|ПО для робототехники
Aldec Active-HDL;Delta Design Simulator (13820);CAD/ECAD/CAM/CAE-системы
